author_ID,article_ID
57218202833,1
7004904337,1
7005513246,1
6508306234,2
9277159100,2
6507358470,2
53879700900,3
26642910500,3
57204031131,4
6602649851,4
56830076500,4
57204029674,4
57204032253,4
57217149830,5
57217149403,5
57217145377,5
57217146534,5
57217147399,5
57217147006,5
57210571665,5
55611356500,5
57218886193,6
57210260262,6
6701777223,6
8448666000,6
36149254500,7
57191155872,7
56681156600,7
35088650000,7
7201741468,7
7402786794,7
57191822951,8
56830076500,8
57188654880,8
57192247939,9
57218886193,9
6701777223,9
8448666000,9
57218593962,10
57218593446,10
57218591162,10
57201772566,10
16422844400,10
7102975249,10
57193338296,11
57194692502,11
57202017958,11
57205128747,11
55829396600,11
57201634652,12
57218685929,12
18535712500,12
56248593800,13
10640480600,13
24923036100,13
7201675107,13
36149254500,14
57191155872,14
56681156600,14
7201741468,14
35088650000,14
7402786794,14
56330168500,15
9942259800,15
57201257192,15
56260937200,15
57081918700,15
55487415500,15
7202083837,16
57210290270,16
57210288045,16
57210287166,16
57211254337,16
57210292389,16
57218761022,16
35147940600,16
57201912667,17
7202282831,17
57218107757,17
57198832579,17
57218097969,17
7003302831,17
16066928300,17
57213342768,18
56584019300,19
57217581937,19
57214937519,19
57217581770,19
55542008600,19
56714263700,19
8608718200,19
17341858700,20
42062742100,20
55802018400,20
36515506800,20
56735940800,20
57194874146,21
8935141300,21
57194231165,21
6601976036,21
35547089300,21
7004479819,21
55413647400,21
55739722900,21
7201970805,21
57217041570,22
57200117690,22
57207689986,22
57200699937,22
7202316035,22
7102975249,22
35209941000,22
57219312906,23
57215534774,23
35303536900,23
57216811262,24
8705255200,24
57218879246,25
57218883196,25
57218883472,25
57218875152,25
35209941000,25
36444802300,25
7402967162,26
56196521900,26
35597296700,26
55649569259,26
55849071700,27
57190404271,27
35562442700,27
7006542177,27
36668159600,27
57200206301,28
57190131647,28
35612908400,28
8208300700,28
57192643299,28
57215136260,29
56442655200,29
55827824100,29
57197773578,30
57204761536,30
7004300863,30
8421746800,30
57203660684,31
35562442700,31
57218095797,32
57218102993,32
57218105310,32
57197795830,32
14033673100,32
57205285411,33
57205288709,33
57205293533,33
6701746882,33
10141271600,33
7202277096,33
57214937519,34
6701720294,34
57211516485,34
57200077532,35
55613237293,35
35562442700,35
57208246750,36
57206834042,36
7003292762,36
19638969800,36
55301279200,36
57192247939,37
57218886193,37
6701777223,37
8448666000,37
7402258065,38
36987999600,39
7003868048,39
7202083837,39
57190402922,40
36668159600,40
7006542177,40
9535406000,41
56703308500,41
57216531463,41
23050937200,41
57199050938,42
57211158470,42
57195286623,42
35790633100,42
12142543700,42
8715877100,42
57209474608,43
12445208100,43
35868117400,43
57209473859,43
35867849600,43
8929123100,44
57215607275,44
57215609504,44
57200118993,44
57215613881,44
57215598228,44
57211987837,44
57209538650,44
7005636820,44
57202910818,45
55213245300,45
57211642778,45
57196372172,45
57208225620,45
57209824884,45
6701646284,46
57216751001,46
57216748895,46
36913263000,46
57217283178,46
57216749286,46
7005357023,46
57192943554,47
7004300863,47
8421746800,47
56709287700,48
7102975249,48
7003772744,49
57195970826,50
57203943386,50
57193834529,50
57203942414,50
7410190129,50
7007046711,50
7006111578,50
56371366400,51
57202818911,51
7102523474,51
7003927879,52
57217245563,52
57198519795,52
55100119300,52
57201257192,53
56330168500,53
9942259800,53
39861044100,53
36708895400,53
57210419894,54
14059209700,54
7406665619,54
7201793184,54
56692412900,55
57211105311,55
7202518970,55
12445742400,55
57218836048,56
57194504247,56
7202040335,56
14631026900,56
55159798000,56
54941111500,56
55258876800,56
7006038251,56
20735824800,56
55846910700,56
6602657620,56
14033765300,56
13005462200,56
55770396700,57
56735940800,57
8705255200,57
23099630500,57
57215680724,58
57205652801,58
57195427378,58
57215684781,58
57215687139,58
57215697686,58
56251876800,58
7202687601,58
7005636820,58
56514586700,58
57201634652,59
18535712500,59
57197765353,60
7004300863,60
8421746800,60
57188681207,61
36349287300,61
57189235340,62
55547123342,62
7003292762,62
25639041400,62
55967471000,62
57218221803,62
56709287700,63
56387524600,63
57202735625,63
16422844400,63
7102975249,63
7003381644,64
6701834327,64
57202445593,65
7004609408,65
8660143800,65
6506736843,65
6507359986,66
57214365851,66
57212088299,66
7003663333,66
6602889035,66
57216181629,67
36245410800,67
57191110417,67
56622088300,67
57195921912,67
57215904613,67
7402756644,67
57217317667,67
57195591421,67
57217789464,67
57216183270,67
57207901363,67
34873697600,67
56767836200,67
7102900497,67
57196422740,68
7403518015,68
36852156000,68
16245238300,68
57202776341,69
57212879455,69
57212877661,69
57212877401,69
35262249500,69
7102405529,69
7007046711,69
57212107391,70
57216754583,70
57200117690,70
35209941000,70
8342785400,70
57190228554,71
7102879142,71
57211891331,72
57199244740,72
7406665619,72
57204433875,72
7406665619,73
57215212754,73
57215211789,73
57214076898,74
57198146081,74
7006441571,74
12142543700,74
57191873151,75
57216430816,75
7003772744,75
55971908500,76
54415193700,76
56489679500,76
55522618700,76
55864283000,76
57211516485,76
57209110872,77
57206455220,77
7103248108,77
57191108291,78
57212383793,78
57212379321,78
57202904399,78
7403279876,78
57207901363,78
6507391043,78
57196261400,79
57214229367,79
7003381644,79
57214855898,80
57215031057,80
8608718200,80
6701610428,80
7410190129,80
7403218372,80
57200515115,81
57194698845,81
12142543700,81
8705255200,81
35409277700,81
57193749678,82
55457444300,82
6701863708,82
57201666213,83
55694540600,83
7004479819,83
7003545107,83
13406135400,83
