author_ID,org_ID
57218202833.0,1
7004904337.0,1
7005513246.0,1
6508306234.0,2
9277159100.0,3
6507358470.0,4
53879700900.0,5
26642910500.0,6
57204031131.0,7
6602649851.0,8
56830076500.0,7
57204029674.0,8
57204032253.0,7
57217149830.0,9
57217149403.0,10
57217145377.0,9
57217146534.0,10
57217147399.0,9
57217147006.0,10
57210571665.0,9
55611356500.0,10
57218886193.0,11
57210260262.0,12
6701777223.0,13
8448666000.0,11
36149254500.0,14
57191155872.0,15
56681156600.0,14
35088650000.0,15
7201741468.0,14
7402786794.0,15
57191822951.0,16
57188654880.0,16
57192247939.0,17
57218593962.0,20
57218593446.0,21
57218591162.0,20
57201772566.0,21
16422844400.0,20
7102975249.0,21
57193338296.0,22
57194692502.0,23
57202017958.0,24
57205128747.0,22
55829396600.0,23
57201634652.0,25
57218685929.0,25
18535712500.0,25
56248593800.0,26
10640480600.0,27
24923036100.0,28
7201675107.0,29
56330168500.0,30
9942259800.0,31
57201257192.0,32
56260937200.0,33
57081918700.0,30
55487415500.0,31
7202083837.0,34
57210290270.0,35
57210288045.0,36
57210287166.0,34
57211254337.0,35
57210292389.0,36
57218761022.0,34
35147940600.0,35
57201912667.0,37
7202282831.0,38
57218107757.0,37
57198832579.0,38
57218097969.0,37
7003302831.0,38
16066928300.0,37
57213342768.0,39
56584019300.0,40
57217581937.0,41
57214937519.0,42
57217581770.0,40
55542008600.0,41
56714263700.0,42
8608718200.0,40
17341858700.0,43
42062742100.0,44
55802018400.0,45
36515506800.0,46
56735940800.0,47
57194874146.0,49
8935141300.0,50
57194231165.0,51
6601976036.0,52
35547089300.0,53
7004479819.0,54
55413647400.0,49
55739722900.0,50
7201970805.0,51
57217041570.0,55
57200117690.0,55
57207689986.0,55
57200699937.0,55
7202316035.0,55
35209941000.0,55
57219312906.0,56
57215534774.0,56
35303536900.0,56
57216811262.0,57
8705255200.0,57
57218879246.0,58
57218883196.0,59
57218883472.0,58
57218875152.0,59
36444802300.0,59
7402967162.0,60
56196521900.0,61
35597296700.0,62
55649569259.0,60
55849071700.0,63
57190404271.0,64
35562442700.0,65
7006542177.0,63
36668159600.0,64
57200206301.0,66
57190131647.0,67
35612908400.0,68
8208300700.0,66
57192643299.0,67
57215136260.0,69
56442655200.0,70
55827824100.0,69
57197773578.0,71
57204761536.0,72
7004300863.0,71
8421746800.0,72
57203660684.0,73
57218095797.0,57
57218102993.0,74
57218105310.0,57
57197795830.0,74
14033673100.0,57
57205285411.0,75
57205288709.0,75
57205293533.0,75
6701746882.0,75
10141271600.0,75
7202277096.0,75
6701720294.0,76
57211516485.0,76
57200077532.0,77
55613237293.0,78
57208246750.0,79
57206834042.0,80
7003292762.0,81
19638969800.0,79
55301279200.0,80
7402258065.0,83
36987999600.0,84
7003868048.0,85
57190402922.0,86
9535406000.0,88
56703308500.0,89
57216531463.0,90
23050937200.0,88
57199050938.0,91
57211158470.0,92
57195286623.0,93
35790633100.0,91
12142543700.0,92
8715877100.0,93
57209474608.0,94
12445208100.0,94
35868117400.0,94
57209473859.0,94
35867849600.0,94
8929123100.0,95
57215607275.0,95
57215609504.0,95
57200118993.0,95
57215613881.0,95
57215598228.0,95
57211987837.0,95
57209538650.0,95
7005636820.0,95
57202910818.0,96
55213245300.0,96
57211642778.0,96
57196372172.0,96
57208225620.0,96
57209824884.0,96
6701646284.0,97
57216751001.0,97
57216748895.0,97
36913263000.0,97
57217283178.0,97
57216749286.0,97
7005357023.0,97
57192943554.0,57
56709287700.0,99
7003772744.0,16
57195970826.0,96
57203943386.0,100
57193834529.0,19
57203942414.0,96
7410190129.0,100
7007046711.0,19
7006111578.0,96
56371366400.0,101
57202818911.0,101
7102523474.0,101
7003927879.0,102
57217245563.0,103
57198519795.0,102
55100119300.0,103
39861044100.0,105
36708895400.0,104
57210419894.0,106
14059209700.0,85
7406665619.0,107
7201793184.0,106
56692412900.0,108
57211105311.0,92
7202518970.0,109
12445742400.0,108
57218836048.0,110
57194504247.0,111
7202040335.0,112
14631026900.0,19
55159798000.0,110
54941111500.0,111
55258876800.0,112
7006038251.0,19
20735824800.0,110
55846910700.0,111
6602657620.0,112
14033765300.0,19
13005462200.0,110
55770396700.0,113
23099630500.0,115
57215680724.0,117
57205652801.0,118
57195427378.0,119
57215684781.0,117
57215687139.0,118
57215697686.0,119
56251876800.0,117
7202687601.0,118
56514586700.0,117
57197765353.0,57
57188681207.0,121
36349287300.0,121
57189235340.0,122
55547123342.0,123
25639041400.0,123
55967471000.0,122
57218221803.0,123
56387524600.0,125
57202735625.0,124
7003381644.0,34
6701834327.0,126
57202445593.0,127
7004609408.0,128
8660143800.0,41
6506736843.0,129
6507359986.0,130
57214365851.0,131
57212088299.0,132
7003663333.0,133
6602889035.0,130
57216181629.0,134
36245410800.0,135
57191110417.0,136
56622088300.0,137
57195921912.0,19
57215904613.0,138
7402756644.0,139
57217317667.0,134
57195591421.0,135
57217789464.0,136
57216183270.0,137
57207901363.0,19
34873697600.0,138
56767836200.0,139
7102900497.0,134
57196422740.0,140
7403518015.0,141
36852156000.0,140
16245238300.0,141
57202776341.0,142
57212879455.0,24
57212877661.0,142
57212877401.0,24
35262249500.0,142
7102405529.0,24
57212107391.0,143
57216754583.0,144
8342785400.0,143
57190228554.0,145
7102879142.0,62
57211891331.0,146
57199244740.0,147
57204433875.0,147
57215212754.0,85
57215211789.0,146
57214076898.0,148
57198146081.0,149
7006441571.0,148
57191873151.0,150
57216430816.0,151
55971908500.0,153
54415193700.0,48
56489679500.0,154
55522618700.0,153
55864283000.0,48
