s,name
http://kg_sdm.org/Person/Bidstrup_C_C_,Bidstrup C.C.
http://kg_sdm.org/Person/Bilancia_P_,Bilancia P.
http://kg_sdm.org/Person/Billings_W_M_,Billings W.M.
http://kg_sdm.org/Person/Bilodeau_R_A_,Bilodeau R.A.
http://kg_sdm.org/Person/Bingham_E_,Bingham E.
http://kg_sdm.org/Person/Bird_E_,Bird E.
http://kg_sdm.org/Person/Bischoff_M_,Bischoff M.
http://kg_sdm.org/Person/Biswas_A_,Biswas A.
http://kg_sdm.org/Person/Biwer_C_M_,Biwer C.M.
http://kg_sdm.org/Person/Bjørkevoll_K_,Bjørkevoll K.
http://kg_sdm.org/Person/Blackburn_L_,Blackburn L.
http://kg_sdm.org/Person/Blotter_J_D_,Blotter J.D.
http://kg_sdm.org/Person/Boardman_B_,Boardman B.
http://kg_sdm.org/Person/Boaventura_Cunha_J_,Boaventura-Cunha J.
http://kg_sdm.org/Person/Bodaghi_M_,Bodaghi M.
http://kg_sdm.org/Person/Bodily_D_M_,Bodily D.M.
http://kg_sdm.org/Person/Bodily_P_M_,Bodily P.M.
http://kg_sdm.org/Person/Bodily_R_,Bodily R.
http://kg_sdm.org/Person/Boekweg_E_,Boekweg E.
http://kg_sdm.org/Person/Bohman_M_,Bohman M.
http://kg_sdm.org/Person/Bohn_R_E_,Bohn R.E.
http://kg_sdm.org/Person/Bolme_C_,Bolme C.
http://kg_sdm.org/Person/Bong_H_J_,Bong H.J.
http://kg_sdm.org/Person/Bonner_N_,Bonner N.
http://kg_sdm.org/Person/Bopp_D_G_,Bopp D.G.
http://kg_sdm.org/Person/Borden_M_J_,Borden M.J.
http://kg_sdm.org/Person/Boster_K_,Boster K.
http://kg_sdm.org/Person/Bowden_A_E_,Bowden A.E.
http://kg_sdm.org/Person/Bowlan_P_,Bowlan P.
http://kg_sdm.org/Person/Bowman_K_E_,Bowman K.E.
http://kg_sdm.org/Person/Boyce_P_,Boyce P.
http://kg_sdm.org/Person/Boyd_Graber_J_,Boyd-Graber J.
http://kg_sdm.org/Person/Bradley_M_W_,Bradley M.W.
http://kg_sdm.org/Person/Bresciano_K_A_,Bresciano K.A.
http://kg_sdm.org/Person/Brewer_E_,Brewer E.
http://kg_sdm.org/Person/Briceño_X_,Briceño X.
http://kg_sdm.org/Person/Brink_K_M_,Brink K.M.
http://kg_sdm.org/Person/Briscoe_T_,Briscoe T.
http://kg_sdm.org/Person/Broderick_G_,Broderick G.
http://kg_sdm.org/Person/Brodie_M_,Brodie M.
http://kg_sdm.org/Person/Brodzik_M_J_,Brodzik M.J.
http://kg_sdm.org/Person/Bronson_P_G_,Bronson P.G.
http://kg_sdm.org/Person/Broomfield_J_,Broomfield J.
http://kg_sdm.org/Person/Brown_D_M_,Brown D.M.
http://kg_sdm.org/Person/Brown_N_,Brown N.
http://kg_sdm.org/Person/Brown_N_P_,Brown N.P.
http://kg_sdm.org/Person/Brown_O_,Brown O.
http://kg_sdm.org/Person/Brown_T_,Brown T.
http://kg_sdm.org/Person/Brownlee_B_J_,Brownlee B.J.
http://kg_sdm.org/Person/Broyles_Z_,Broyles Z.
http://kg_sdm.org/Person/Bruening_D_,Bruening D.
http://kg_sdm.org/Person/Brunhaver_J_,Brunhaver J.
http://kg_sdm.org/Person/Bryan_C_R_,Bryan C.R.
http://kg_sdm.org/Person/Bucki_R_,Bucki R.
http://kg_sdm.org/Person/Bull_D_J_,Bull D.J.
http://kg_sdm.org/Person/Bundy_B_C_,Bundy B.C.
http://kg_sdm.org/Person/Bunimovich_L_,Bunimovich L.
http://kg_sdm.org/Person/Bunker_D_,Bunker D.
http://kg_sdm.org/Person/Bunnell_S_,Bunnell S.
http://kg_sdm.org/Person/Burnett_M_,Burnett M.
http://kg_sdm.org/Person/Burrow_D_,Burrow D.
http://kg_sdm.org/Person/Bush_D_B_,Bush D.B.
http://kg_sdm.org/Person/Bustamante_D_,Bustamante D.
http://kg_sdm.org/Person/Butail_S_,Butail S.
http://kg_sdm.org/Person/Butler_J_J_,Butler J.J.
http://kg_sdm.org/Person/Bécar_N_A_,Bécar N.A.
http://kg_sdm.org/Person/Cabas_A_,Cabas A.
http://kg_sdm.org/Person/Caglar_B_,Caglar B.
http://kg_sdm.org/Person/Caglar_H_,Caglar H.
http://kg_sdm.org/Person/Calderon_J_R_,Calderon J.R.
http://kg_sdm.org/Person/Callahan_C_,Callahan C.
http://kg_sdm.org/Person/Calton_M_F_,Calton M.F.
http://kg_sdm.org/Person/Calve_S_,Calve S.
http://kg_sdm.org/Person/Calvin_J_J_,Calvin J.J.
http://kg_sdm.org/Person/Calvopiña_D_G_,Calvopiña D.G.
http://kg_sdm.org/Person/Camacho_J_S_,Camacho J.S.
http://kg_sdm.org/Person/Camacho_R_,Camacho R.
http://kg_sdm.org/Person/Camacho_R_M_,Camacho R.M.
http://kg_sdm.org/Person/Cameron_J_,Cameron J.
http://kg_sdm.org/Person/Campbell_B_D_,Campbell B.D.
http://kg_sdm.org/Person/Campbell_B_J_,Campbell B.J.
http://kg_sdm.org/Person/Campbell_K_S_,Campbell K.S.
http://kg_sdm.org/Person/Candia_G_,Candia G.
http://kg_sdm.org/Person/Canizales_K_A_,Canizales K.A.
http://kg_sdm.org/Person/Cannon_M_J_,Cannon M.J.
http://kg_sdm.org/Person/Cannon_S_,Cannon S.
http://kg_sdm.org/Person/Cao_J_,Cao J.
http://kg_sdm.org/Person/Cao_Q_,Cao Q.
http://kg_sdm.org/Person/Capotondi_F_,Capotondi F.
http://kg_sdm.org/Person/Cardall_H_,Cardall H.
http://kg_sdm.org/Person/Carlson_B_,Carlson B.
http://kg_sdm.org/Person/Carlson_S_,Carlson S.
http://kg_sdm.org/Person/Carreira_M_,Carreira M.
http://kg_sdm.org/Person/Carrion_R_,Carrion R.
http://kg_sdm.org/Person/Carroll_J_D_,Carroll J.D.
http://kg_sdm.org/Person/Carter_V_,Carter V.
http://kg_sdm.org/Person/Carver_V_,Carver V.
http://kg_sdm.org/Person/Casbeer_D_W_,Casbeer D.W.
http://kg_sdm.org/Person/Cattaneo_A_,Cattaneo A.
http://kg_sdm.org/Person/Cayeux_E_,Cayeux E.
http://kg_sdm.org/Person/Cazzaniga_C_,Cazzaniga C.
http://kg_sdm.org/Person/Chahal_J_S_,Chahal J.S.
http://kg_sdm.org/Person/Chamberlin_R_,Chamberlin R.
http://kg_sdm.org/Person/Chambers_C_,Chambers C.
http://kg_sdm.org/Person/Chang_J_S_,Chang J.S.
http://kg_sdm.org/Person/Chang_M__C_F_,Chang M.-C.F.
http://kg_sdm.org/Person/Chapman_S_C_,Chapman S.C.
http://kg_sdm.org/Person/Charles_S_K_,Charles S.K.
http://kg_sdm.org/Person/Chartrand_N_,Chartrand N.
http://kg_sdm.org/Person/Chatterjee_S_,Chatterjee S.
http://kg_sdm.org/Person/Chau_V_,Chau V.
http://kg_sdm.org/Person/Chelladurai_I_,Chelladurai I.
http://kg_sdm.org/Person/Chen_C__H_,Chen C.-H.
http://kg_sdm.org/Person/Chen_G_,Chen G.
http://kg_sdm.org/Person/Chen_J_,Chen J.
http://kg_sdm.org/Person/Chen_K_,Chen K.
http://kg_sdm.org/Person/Chen_L_,Chen L.
http://kg_sdm.org/Person/Chen_X_,Chen X.
http://kg_sdm.org/Person/Chen_Y__F_,Chen Y.-F.
http://kg_sdm.org/Person/Cheney_T_,Cheney T.
http://kg_sdm.org/Person/Cheng_L_,Cheng L.
http://kg_sdm.org/Person/Cheung_K__M_,Cheung K.-M.
http://kg_sdm.org/Person/Chiang_S__H_W_,Chiang S.-H.W.
http://kg_sdm.org/Person/Childs_B_R_,Childs B.R.
http://kg_sdm.org/Person/Childs_C_,Childs C.
http://kg_sdm.org/Person/Chiminelli_A_,Chiminelli A.
http://kg_sdm.org/Person/Chou_Y_,Chou Y.
http://kg_sdm.org/Person/Chowdhury_S_,Chowdhury S.
http://kg_sdm.org/Person/Chrisey_L_A_,Chrisey L.A.
http://kg_sdm.org/Person/Christensen_C_,Christensen C.
http://kg_sdm.org/Person/Christensen_J_E_,Christensen J.E.
http://kg_sdm.org/Person/Christensen_K_A_,Christensen K.A.
http://kg_sdm.org/Person/Christie_S_,Christie S.
http://kg_sdm.org/Person/Christofferson_J_P_,Christofferson J.P.
http://kg_sdm.org/Person/Chu_H_,Chu H.
http://kg_sdm.org/Person/Chung_W__S_,Chung W.-S.
http://kg_sdm.org/Person/Clark_B_,Clark B.
http://kg_sdm.org/Person/Clark_R_,Clark R.
http://kg_sdm.org/Person/Clavijo_C_E_,Clavijo C.E.
http://kg_sdm.org/Person/Clayburn_Z_,Clayburn Z.
http://kg_sdm.org/Person/Clayton_M_F_,Clayton M.F.
http://kg_sdm.org/Person/Clement_M_J_,Clement M.J.
http://kg_sdm.org/Person/Clinton_R_,Clinton R.
http://kg_sdm.org/Person/Cluff_S_,Cluff S.
http://kg_sdm.org/Person/Coburn_J_,Coburn J.
http://kg_sdm.org/Person/Cockrell_J_,Cockrell J.
http://kg_sdm.org/Person/Coleman_S_,Coleman S.
http://kg_sdm.org/Person/Collett_T_,Collett T.
http://kg_sdm.org/Person/Collins_D_H_,Collins D.H.
http://kg_sdm.org/Person/Collins_N_S_,Collins N.S.
http://kg_sdm.org/Person/Colton_J_S_,Colton J.S.
http://kg_sdm.org/Person/Comer_D_J_,Comer D.J.
http://kg_sdm.org/Person/Conci_N_,Conci N.
http://kg_sdm.org/Person/Cook_A_D_,Cook A.D.
http://kg_sdm.org/Person/Cook_D_D_,Cook D.D.
http://kg_sdm.org/Person/Copeland_C_G_,Copeland C.G.
http://kg_sdm.org/Person/Copley_D_C_,Copley D.C.
http://kg_sdm.org/Person/Corie_T_H_,Corie T.H.
http://kg_sdm.org/Person/Correia_N_,Correia N.
http://kg_sdm.org/Person/Cosson_B_,Cosson B.
http://kg_sdm.org/Person/Coughlin_D_R_,Coughlin D.R.
http://kg_sdm.org/Person/Cowger_A_E_,Cowger A.E.
http://kg_sdm.org/Person/Cowley_A_,Cowley A.
